DataSeries,year_month,no_of_visitors
        Vietnam,2024May,31215
        Other Markets In Southeast Asia,2024May,6709
    Greater China,2024May,276637
        China,2024May,222335
        Hong Kong SAR,2024May,24044
        Taiwan,2024May,28797
        Other Markets In Greater China,2024May,1461
    North Asia,2024May,78968
        Japan,2024May,39077
        South Korea,2024May,39825
        Other Markets In North Asia,2024May,66
    South Asia,2024May,178227
        Bangladesh,2024May,10959
        India,2024May,156572
        Pakistan,2024May,1309
        Sri Lanka,2024May,5780
        Other Markets In South Asia,2024May,3607
    West Asia,2024May,10769
        Iran,2024May,340
        Israel,2024May,1303
        Kuwait,2024May,217
        Saudi Arabia,2024May,1384
        United Arab Emirates,2024May,5435
        Other Markets In West Asia,2024May,2090
    Americas,2024May,73351
        Canada,2024May,11155
        USA,2024May,54520
        Other Markets In Americas,2024May,7676
    Europe,2024May,125674
        Belgium & Luxembourg,2024May,2631
        Denmark,2024May,1736
        Finland,2024May,1533
        France,2024May,15066
        Germany,2024May,24531
        Italy,2024May,4473
        Netherlands,2024May,7522
        Norway,2024May,1213
        Rep Of Ireland,2024May,1791
        Russian Federation,2024May,3654
        Spain,2024May,3704
        Sweden,2024May,1457
        Switzerland,2024May,6393
        United Kingdom,2024May,33195
        Other Markets In Europe,2024May,16775
    Oceania,2024May,95393
        Australia,2024May,79588
        New Zealand,2024May,12808
        Other Markets In Oceania,2024May,2997
    Africa,2024May,6636
        Egypt,2024May,281
        Mauritius,2024May,372
        South Africa (Rep Of),2024May,1778
        Other Markets In Africa,2024May,4205
    Others,2024May,436
Total International Visitor Arrivals By Inbound Tourism Markets,2024Apr,1343319
    Southeast Asia,2024Apr,506437
        Brunei Darussalam,2024Apr,4844
        Indonesia,2024Apr,243892
        Malaysia,2024Apr,106186
        Myanmar,2024Apr,15985
        Philippines,2024Apr,53154
        Thailand,2024Apr,42507
        Vietnam,2024Apr,30810
        Other Markets In Southeast Asia,2024Apr,9059
    Greater China,2024Apr,278900
        China,2024Apr,220435
        Hong Kong SAR,2024Apr,26453
        Taiwan,2024Apr,30309
        Other Markets In Greater China,2024Apr,1703
    North Asia,2024Apr,69859
        Japan,2024Apr,32434
        South Korea,2024Apr,37346
        Other Markets In North Asia,2024Apr,79
    South Asia,2024Apr,128285
        Bangladesh,2024Apr,11707
        India,2024Apr,106715
        Pakistan,2024Apr,956
        Sri Lanka,2024Apr,6187
        Other Markets In South Asia,2024Apr,2720
    West Asia,2024Apr,17470
        Iran,2024Apr,404
        Israel,2024Apr,1447
        Kuwait,2024Apr,313
        Saudi Arabia,2024Apr,1954
        United Arab Emirates,2024Apr,10518
        Other Markets In West Asia,2024Apr,2834
    Americas,2024Apr,69011
        Canada,2024Apr,11325
        USA,2024Apr,49741
        Other Markets In Americas,2024Apr,7945
    Europe,2024Apr,155963
        Belgium & Luxembourg,2024Apr,2969
        Denmark,2024Apr,2398
        Finland,2024Apr,2008
        France,2024Apr,16785
        Germany,2024Apr,27950
        Italy,2024Apr,5149
        Netherlands,2024Apr,7188
        Norway,2024Apr,1763
        Rep Of Ireland,2024Apr,1921
        Russian Federation,2024Apr,5216
        Spain,2024Apr,3814
        Sweden,2024Apr,2123
        Switzerland,2024Apr,8298
        United Kingdom,2024Apr,47507
        Other Markets In Europe,2024Apr,20874
    Oceania,2024Apr,112497
        Australia,2024Apr,96752
        New Zealand,2024Apr,13052
        Other Markets In Oceania,2024Apr,2693
    Africa,2024Apr,4857
        Egypt,2024Apr,153
        Mauritius,2024Apr,582
        South Africa (Rep Of),2024Apr,1992
        Other Markets In Africa,2024Apr,2130
    Others,2024Apr,40
Total International Visitor Arrivals By Inbound Tourism Markets,2024Mar,1464865
    Southeast Asia,2024Mar,534123
        Brunei Darussalam,2024Mar,4779
        Indonesia,2024Mar,204970
        Malaysia,2024Mar,120242
        Myanmar,2024Mar,15327
        Philippines,2024Mar,100271
        Thailand,2024Mar,45975
        Vietnam,2024Mar,35358
        Other Markets In Southeast Asia,2024Mar,7201
    Greater China,2024Mar,315946
        China,2024Mar,247658
        Hong Kong SAR,2024Mar,35786
        Taiwan,2024Mar,30344
        Other Markets In Greater China,2024Mar,2158
    North Asia,2024Mar,97048
        Japan,2024Mar,54884
        South Korea,2024Mar,42064
        Other Markets In North Asia,2024Mar,100
    South Asia,2024Mar,113228
        Bangladesh,2024Mar,8616
        India,2024Mar,97027
        Pakistan,2024Mar,824
        Sri Lanka,2024Mar,4449
        Other Markets In South Asia,2024Mar,2312
    West Asia,2024Mar,13591
        Iran,2024Mar,2207
        Israel,2024Mar,1284
        Kuwait,2024Mar,176
        Saudi Arabia,2024Mar,812
        United Arab Emirates,2024Mar,7311
        Other Markets In West Asia,2024Mar,1801
    Americas,2024Mar,85431
        Canada,2024Mar,12439
        USA,2024Mar,64440
        Other Markets In Americas,2024Mar,8552
    Europe,2024Mar,198083
        Belgium & Luxembourg,2024Mar,2741
        Denmark,2024Mar,2972
        Finland,2024Mar,2973
        France,2024Mar,14035
        Germany,2024Mar,39351
        Italy,2024Mar,4868
        Netherlands,2024Mar,6914
        Norway,2024Mar,2417
        Rep Of Ireland,2024Mar,2619
        Russian Federation,2024Mar,5608
        Spain,2024Mar,4731
        Sweden,2024Mar,2911
        Switzerland,2024Mar,7743
        United Kingdom,2024Mar,73518
