DataSeries,year_month,no_of_visitors
    Southeast Asia,1983Mar,87871
        Brunei Darussalam,1983Mar,na
        Indonesia,1983Mar,na
        Malaysia,1983Mar,na
        Myanmar,1983Mar,na
        Philippines,1983Mar,na
        Thailand,1983Mar,na
        Vietnam,1983Mar,na
        Other Markets In Southeast Asia,1983Mar,na
    Greater China,1983Mar,na
        China,1983Mar,186
        Hong Kong SAR,1983Mar,7210
        Taiwan,1983Mar,6769
        Other Markets In Greater China,1983Mar,na
    North Asia,1983Mar,na
        Japan,1983Mar,40321
        South Korea,1983Mar,3096
        Other Markets In North Asia,1983Mar,na
    South Asia,1983Mar,12805
        Bangladesh,1983Mar,572
        India,1983Mar,8802
        Pakistan,1983Mar,1305
        Sri Lanka,1983Mar,1938
        Other Markets In South Asia,1983Mar,188
    West Asia,1983Mar,3737
        Iran,1983Mar,32
        Israel,1983Mar,na
        Kuwait,1983Mar,305
        Saudi Arabia,1983Mar,1766
        United Arab Emirates,1983Mar,645
        Other Markets In West Asia,1983Mar,na
    Americas,1983Mar,17103
        Canada,1983Mar,2357
        USA,1983Mar,14274
        Other Markets In Americas,1983Mar,na
    Europe,1983Mar,39149
        Belgium & Luxembourg,1983Mar,815
        Denmark,1983Mar,972
        Finland,1983Mar,356
        France,1983Mar,3307
        Germany,1983Mar,7086
        Italy,1983Mar,1800
        Netherlands,1983Mar,3103
        Norway,1983Mar,897
        Rep Of Ireland,1983Mar,na
        Russian Federation,1983Mar,na
        Spain,1983Mar,na
        Sweden,1983Mar,1514
        Switzerland,1983Mar,2558
        United Kingdom,1983Mar,14448
        Other Markets In Europe,1983Mar,na
    Oceania,1983Mar,23077
        Australia,1983Mar,19143
        New Zealand,1983Mar,3261
        Other Markets In Oceania,1983Mar,673
    Africa,1983Mar,804
        Egypt,1983Mar,na
        Mauritius,1983Mar,na
        South Africa (Rep Of),1983Mar,na
        Other Markets In Africa,1983Mar,na
    Others,1983Mar,48
Total International Visitor Arrivals By Inbound Tourism Markets,1983Feb,212591
    Southeast Asia,1983Feb,74957
        Brunei Darussalam,1983Feb,na
        Indonesia,1983Feb,na
        Malaysia,1983Feb,na
        Myanmar,1983Feb,na
        Philippines,1983Feb,na
        Thailand,1983Feb,na
        Vietnam,1983Feb,na
        Other Markets In Southeast Asia,1983Feb,na
    Greater China,1983Feb,na
        China,1983Feb,94
        Hong Kong SAR,1983Feb,11397
        Taiwan,1983Feb,8792
        Other Markets In Greater China,1983Feb,na
    North Asia,1983Feb,na
        Japan,1983Feb,33740
        South Korea,1983Feb,2584
        Other Markets In North Asia,1983Feb,na
    South Asia,1983Feb,11338
        Bangladesh,1983Feb,617
        India,1983Feb,7902
        Pakistan,1983Feb,1075
        Sri Lanka,1983Feb,1534
        Other Markets In South Asia,1983Feb,210
    West Asia,1983Feb,3439
        Iran,1983Feb,17
        Israel,1983Feb,na
        Kuwait,1983Feb,241
        Saudi Arabia,1983Feb,1742
        United Arab Emirates,1983Feb,576
        Other Markets In West Asia,1983Feb,na
    Americas,1983Feb,14230
        Canada,1983Feb,2371
        USA,1983Feb,11409
        Other Markets In Americas,1983Feb,na
    Europe,1983Feb,32877
        Belgium & Luxembourg,1983Feb,635
        Denmark,1983Feb,981
        Finland,1983Feb,358
        France,1983Feb,2677
        Germany,1983Feb,5146
        Italy,1983Feb,1585
        Netherlands,1983Feb,2816
        Norway,1983Feb,852
        Rep Of Ireland,1983Feb,na
        Russian Federation,1983Feb,na
        Spain,1983Feb,na
        Sweden,1983Feb,1291
        Switzerland,1983Feb,2061
        United Kingdom,1983Feb,12304
        Other Markets In Europe,1983Feb,na
    Oceania,1983Feb,18373
        Australia,1983Feb,14905
        New Zealand,1983Feb,2571
        Other Markets In Oceania,1983Feb,897
    Africa,1983Feb,654
        Egypt,1983Feb,na
        Mauritius,1983Feb,na
        South Africa (Rep Of),1983Feb,na
        Other Markets In Africa,1983Feb,na
    Others,1983Feb,58
Total International Visitor Arrivals By Inbound Tourism Markets,1983Jan,232164
    Southeast Asia,1983Jan,82605
        Brunei Darussalam,1983Jan,na
        Indonesia,1983Jan,na
        Malaysia,1983Jan,na
        Myanmar,1983Jan,na
        Philippines,1983Jan,na
        Thailand,1983Jan,na
        Vietnam,1983Jan,na
        Other Markets In Southeast Asia,1983Jan,na
    Greater China,1983Jan,na
        China,1983Jan,201
        Hong Kong SAR,1983Jan,5771
        Taiwan,1983Jan,4666
        Other Markets In Greater China,1983Jan,na
    North Asia,1983Jan,na
        Japan,1983Jan,32815
        South Korea,1983Jan,3538
        Other Markets In North Asia,1983Jan,na
    South Asia,1983Jan,13690
        Bangladesh,1983Jan,749
        India,1983Jan,9467
        Pakistan,1983Jan,1396
        Sri Lanka,1983Jan,1800
        Other Markets In South Asia,1983Jan,278
    West Asia,1983Jan,3854
        Iran,1983Jan,16
        Israel,1983Jan,na
        Kuwait,1983Jan,202
        Saudi Arabia,1983Jan,1938
        United Arab Emirates,1983Jan,742
        Other Markets In West Asia,1983Jan,na
    Americas,1983Jan,14725
        Canada,1983Jan,2446
        USA,1983Jan,11745
        Other Markets In Americas,1983Jan,na
    Europe,1983Jan,37184
        Belgium & Luxembourg,1983Jan,527
        Denmark,1983Jan,924
        Finland,1983Jan,413
        France,1983Jan,3355
        Germany,1983Jan,5409
        Italy,1983Jan,1972
        Netherlands,1983Jan,3107
        Norway,1983Jan,809
        Rep Of Ireland,1983Jan,na
        Russian Federation,1983Jan,na
        Spain,1983Jan,na
        Sweden,1983Jan,1542
        Switzerland,1983Jan,2699
        United Kingdom,1983Jan,13768
        Other Markets In Europe,1983Jan,na
    Oceania,1983Jan,31645
        Australia,1983Jan,26526
        New Zealand,1983Jan,4022
        Other Markets In Oceania,1983Jan,1097
    Africa,1983Jan,1359
        Egypt,1983Jan,na
        Mauritius,1983Jan,na
        South Africa (Rep Of),1983Jan,na
        Other Markets In Africa,1983Jan,na
    Others,1983Jan,78
Total International Visitor Arrivals By Inbound Tourism Markets,1982Dec,254632
    Southeast Asia,1982Dec,113372
        Brunei Darussalam,1982Dec,na
        Indonesia,1982Dec,na
        Malaysia,1982Dec,na
        Myanmar,1982Dec,na
        Philippines,1982Dec,na
        Thailand,1982Dec,na
        Vietnam,1982Dec,na
        Other Markets In Southeast Asia,1982Dec,na
    Greater China,1982Dec,na
        China,1982Dec,179
        Hong Kong SAR,1982Dec,8182
        Taiwan,1982Dec,6056
        Other Markets In Greater China,1982Dec,na
    North Asia,1982Dec,na
        Japan,1982Dec,27014
        South Korea,1982Dec,3183
        Other Markets In North Asia,1982Dec,na
    South Asia,1982Dec,14631
        Bangladesh,1982Dec,645
        India,1982Dec,10131
        Pakistan,1982Dec,1422
        Sri Lanka,1982Dec,2005
        Other Markets In South Asia,1982Dec,428
    West Asia,1982Dec,3771
        Iran,1982Dec,20
        Israel,1982Dec,na
        Kuwait,1982Dec,199
        Saudi Arabia,1982Dec,1712
        United Arab Emirates,1982Dec,795
        Other Markets In West Asia,1982Dec,na
    Americas,1982Dec,13858
        Canada,1982Dec,2060
        USA,1982Dec,11311
        Other Markets In Americas,1982Dec,na
    Europe,1982Dec,33830
        Belgium & Luxembourg,1982Dec,557
        Denmark,1982Dec,755
        Finland,1982Dec,343
        France,1982Dec,2741
        Germany,1982Dec,5026
        Italy,1982Dec,1488
        Netherlands,1982Dec,2889
        Norway,1982Dec,741
        Rep Of Ireland,1982Dec,na
        Russian Federation,1982Dec,na
        Spain,1982Dec,na
        Sweden,1982Dec,1467
        Switzerland,1982Dec,2302
        United Kingdom,1982Dec,13234
        Other Markets In Europe,1982Dec,na
    Oceania,1982Dec,28940
        Australia,1982Dec,23737
        New Zealand,1982Dec,4075
        Other Markets In Oceania,1982Dec,1128
    Africa,1982Dec,1400
        Egypt,1982Dec,na
        Mauritius,1982Dec,na
        South Africa (Rep Of),1982Dec,na
        Other Markets In Africa,1982Dec,na
    Others,1982Dec,180
Total International Visitor Arrivals By Inbound Tourism Markets,1982Nov,257389
    Southeast Asia,1982Nov,107234
        Brunei Darussalam,1982Nov,na
        Indonesia,1982Nov,na
        Malaysia,1982Nov,na
        Myanmar,1982Nov,na
        Philippines,1982Nov,na
        Thailand,1982Nov,na
        Vietnam,1982Nov,na
        Other Markets In Southeast Asia,1982Nov,na
    Greater China,1982Nov,na
        China,1982Nov,104
        Hong Kong SAR,1982Nov,6035
        Taiwan,1982Nov,5413
        Other Markets In Greater China,1982Nov,na
    North Asia,1982Nov,na
        Japan,1982Nov,32760
        South Korea,1982Nov,3502
        Other Markets In North Asia,1982Nov,na
    South Asia,1982Nov,16427
        Bangladesh,1982Nov,520
        India,1982Nov,12301
        Pakistan,1982Nov,1415
        Sri Lanka,1982Nov,1846
        Other Markets In South Asia,1982Nov,345
    West Asia,1982Nov,3345
        Iran,1982Nov,31
        Israel,1982Nov,na
        Kuwait,1982Nov,146
        Saudi Arabia,1982Nov,1328
        United Arab Emirates,1982Nov,603
        Other Markets In West Asia,1982Nov,na
    Americas,1982Nov,16628
        Canada,1982Nov,2017
        USA,1982Nov,14065
        Other Markets In Americas,1982Nov,na
    Europe,1982Nov,37681
        Belgium & Luxembourg,1982Nov,662
        Denmark,1982Nov,908
        Finland,1982Nov,479
        France,1982Nov,3241
        Germany,1982Nov,5732
        Italy,1982Nov,1713
        Netherlands,1982Nov,3137
        Norway,1982Nov,964
        Rep Of Ireland,1982Nov,na
        Russian Federation,1982Nov,na
        Spain,1982Nov,na
        Sweden,1982Nov,1727
        Switzerland,1982Nov,2829
        United Kingdom,1982Nov,13399
        Other Markets In Europe,1982Nov,na
    Oceania,1982Nov,26912
        Australia,1982Nov,22560
        New Zealand,1982Nov,3707
        Other Markets In Oceania,1982Nov,645
    Africa,1982Nov,1036
        Egypt,1982Nov,na
        Mauritius,1982Nov,na
        South Africa (Rep Of),1982Nov,na
        Other Markets In Africa,1982Nov,na
    Others,1982Nov,191
Total International Visitor Arrivals By Inbound Tourism Markets,1982Oct,251613
    Southeast Asia,1982Oct,103682
        Brunei Darussalam,1982Oct,na
        Indonesia,1982Oct,na
        Malaysia,1982Oct,na
        Myanmar,1982Oct,na
        Philippines,1982Oct,na
        Thailand,1982Oct,na
        Vietnam,1982Oct,na
        Other Markets In Southeast Asia,1982Oct,na
    Greater China,1982Oct,na
        China,1982Oct,176
        Hong Kong SAR,1982Oct,6691
        Taiwan,1982Oct,4844
        Other Markets In Greater China,1982Oct,na
    North Asia,1982Oct,na
        Japan,1982Oct,28806
        South Korea,1982Oct,3275
        Other Markets In North Asia,1982Oct,na
    South Asia,1982Oct,14267
        Bangladesh,1982Oct,585
        India,1982Oct,10761
        Pakistan,1982Oct,1017
        Sri Lanka,1982Oct,1648
        Other Markets In South Asia,1982Oct,256
    West Asia,1982Oct,3602
        Iran,1982Oct,16
        Israel,1982Oct,na
        Kuwait,1982Oct,176
        Saudi Arabia,1982Oct,1294
        United Arab Emirates,1982Oct,617
        Other Markets In West Asia,1982Oct,na
    Americas,1982Oct,19651
        Canada,1982Oct,2198
        USA,1982Oct,16555
        Other Markets In Americas,1982Oct,na
    Europe,1982Oct,36681
        Belgium & Luxembourg,1982Oct,719
        Denmark,1982Oct,871
        Finland,1982Oct,516
        France,1982Oct,3359
        Germany,1982Oct,5976
        Italy,1982Oct,1406
        Netherlands,1982Oct,3297
        Norway,1982Oct,945
        Rep Of Ireland,1982Oct,na
        Russian Federation,1982Oct,na
        Spain,1982Oct,na
        Sweden,1982Oct,1404
        Switzerland,1982Oct,2418
        United Kingdom,1982Oct,13061
        Other Markets In Europe,1982Oct,na
    Oceania,1982Oct,28758
        Australia,1982Oct,21460
        New Zealand,1982Oct,6608
        Other Markets In Oceania,1982Oct,690
    Africa,1982Oct,949
        Egypt,1982Oct,na
        Mauritius,1982Oct,na
        South Africa (Rep Of),1982Oct,na
        Other Markets In Africa,1982Oct,na
    Others,1982Oct,176
Total International Visitor Arrivals By Inbound Tourism Markets,1982Sep,232006
    Southeast Asia,1982Sep,94177
        Brunei Darussalam,1982Sep,na
        Indonesia,1982Sep,na
        Malaysia,1982Sep,na
        Myanmar,1982Sep,na
        Philippines,1982Sep,na
        Thailand,1982Sep,na
        Vietnam,1982Sep,na
        Other Markets In Southeast Asia,1982Sep,na
    Greater China,1982Sep,na
        China,1982Sep,219
        Hong Kong SAR,1982Sep,6777
        Taiwan,1982Sep,4789
        Other Markets In Greater China,1982Sep,na
    North Asia,1982Sep,na
        Japan,1982Sep,29157
        South Korea,1982Sep,3031
        Other Markets In North Asia,1982Sep,na
    South Asia,1982Sep,12521
        Bangladesh,1982Sep,704
        India,1982Sep,8568
        Pakistan,1982Sep,1153
        Sri Lanka,1982Sep,1789
        Other Markets In South Asia,1982Sep,307
    West Asia,1982Sep,4524
        Iran,1982Sep,47
        Israel,1982Sep,na
        Kuwait,1982Sep,182
        Saudi Arabia,1982Sep,2444
        United Arab Emirates,1982Sep,752
        Other Markets In West Asia,1982Sep,na
    Americas,1982Sep,13735
        Canada,1982Sep,1556
        USA,1982Sep,11174
        Other Markets In Americas,1982Sep,na
    Europe,1982Sep,31303
        Belgium & Luxembourg,1982Sep,600
        Denmark,1982Sep,714
        Finland,1982Sep,198
        France,1982Sep,3191
        Germany,1982Sep,4674
        Italy,1982Sep,1460
        Netherlands,1982Sep,3596
        Norway,1982Sep,628
        Rep Of Ireland,1982Sep,na
        Russian Federation,1982Sep,na
        Spain,1982Sep,na
        Sweden,1982Sep,844
        Switzerland,1982Sep,1641
        United Kingdom,1982Sep,11348
        Other Markets In Europe,1982Sep,na
    Oceania,1982Sep,30308
        Australia,1982Sep,23583
        New Zealand,1982Sep,6052
        Other Markets In Oceania,1982Sep,673
    Africa,1982Sep,1188
        Egypt,1982Sep,na
        Mauritius,1982Sep,na
        South Africa (Rep Of),1982Sep,na
        Other Markets In Africa,1982Sep,na
    Others,1982Sep,196
Total International Visitor Arrivals By Inbound Tourism Markets,1982Aug,281354
    Southeast Asia,1982Aug,102176
        Brunei Darussalam,1982Aug,na
        Indonesia,1982Aug,na
        Malaysia,1982Aug,na
        Myanmar,1982Aug,na
        Philippines,1982Aug,na
        Thailand,1982Aug,na
        Vietnam,1982Aug,na
        Other Markets In Southeast Asia,1982Aug,na
    Greater China,1982Aug,na
        China,1982Aug,73
        Hong Kong SAR,1982Aug,12636
        Taiwan,1982Aug,6637
        Other Markets In Greater China,1982Aug,na
    North Asia,1982Aug,na
        Japan,1982Aug,45289
        South Korea,1982Aug,2649
        Other Markets In North Asia,1982Aug,na
    South Asia,1982Aug,13299
        Bangladesh,1982Aug,717
        India,1982Aug,8965
        Pakistan,1982Aug,1440
        Sri Lanka,1982Aug,1872
        Other Markets In South Asia,1982Aug,305
    West Asia,1982Aug,5704
        Iran,1982Aug,85
        Israel,1982Aug,na
        Kuwait,1982Aug,261
        Saudi Arabia,1982Aug,2845
        United Arab Emirates,1982Aug,1096
        Other Markets In West Asia,1982Aug,na
    Americas,1982Aug,15172
        Canada,1982Aug,1874
        USA,1982Aug,11759
        Other Markets In Americas,1982Aug,na
    Europe,1982Aug,41129
        Belgium & Luxembourg,1982Aug,894
        Denmark,1982Aug,634
        Finland,1982Aug,116
        France,1982Aug,5949
        Germany,1982Aug,5794
        Italy,1982Aug,3376
        Netherlands,1982Aug,4460
        Norway,1982Aug,724
        Rep Of Ireland,1982Aug,na
        Russian Federation,1982Aug,na
        Spain,1982Aug,na
        Sweden,1982Aug,736
        Switzerland,1982Aug,1783
        United Kingdom,1982Aug,13600
        Other Markets In Europe,1982Aug,na
    Oceania,1982Aug,35136
        Australia,1982Aug,26843
        New Zealand,1982Aug,7467
        Other Markets In Oceania,1982Aug,826
    Africa,1982Aug,1073
        Egypt,1982Aug,na
        Mauritius,1982Aug,na
        South Africa (Rep Of),1982Aug,na
        Other Markets In Africa,1982Aug,na
    Others,1982Aug,250
Total International Visitor Arrivals By Inbound Tourism Markets,1982Jul,277968
    Southeast Asia,1982Jul,125214
        Brunei Darussalam,1982Jul,na
        Indonesia,1982Jul,na
        Malaysia,1982Jul,na
        Myanmar,1982Jul,na
        Philippines,1982Jul,na
        Thailand,1982Jul,na
        Vietnam,1982Jul,na
        Other Markets In Southeast Asia,1982Jul,na
    Greater China,1982Jul,na
        China,1982Jul,67
        Hong Kong SAR,1982Jul,9746
        Taiwan,1982Jul,6255
        Other Markets In Greater China,1982Jul,na
    North Asia,1982Jul,na
        Japan,1982Jul,28765
        South Korea,1982Jul,2959
        Other Markets In North Asia,1982Jul,na
    South Asia,1982Jul,11276
        Bangladesh,1982Jul,631
        India,1982Jul,7651
        Pakistan,1982Jul,1057
        Sri Lanka,1982Jul,1710
        Other Markets In South Asia,1982Jul,227
    West Asia,1982Jul,4764
        Iran,1982Jul,64
        Israel,1982Jul,na
        Kuwait,1982Jul,219
        Saudi Arabia,1982Jul,2555
        United Arab Emirates,1982Jul,1032
        Other Markets In West Asia,1982Jul,na
    Americas,1982Jul,16309
        Canada,1982Jul,2238
        USA,1982Jul,12462
        Other Markets In Americas,1982Jul,na
    Europe,1982Jul,37425
        Belgium & Luxembourg,1982Jul,840
        Denmark,1982Jul,659
        Finland,1982Jul,167
        France,1982Jul,4525
        Germany,1982Jul,5480
        Italy,1982Jul,1537
        Netherlands,1982Jul,5550
        Norway,1982Jul,628
        Rep Of Ireland,1982Jul,na
        Russian Federation,1982Jul,na
        Spain,1982Jul,na
        Sweden,1982Jul,873
        Switzerland,1982Jul,2069
        United Kingdom,1982Jul,12362
        Other Markets In Europe,1982Jul,na
    Oceania,1982Jul,34074
        Australia,1982Jul,27156
        New Zealand,1982Jul,6228
        Other Markets In Oceania,1982Jul,690
    Africa,1982Jul,781
        Egypt,1982Jul,na
        Mauritius,1982Jul,na
        South Africa (Rep Of),1982Jul,na
        Other Markets In Africa,1982Jul,na
    Others,1982Jul,268
Total International Visitor Arrivals By Inbound Tourism Markets,1982Jun,243955
    Southeast Asia,1982Jun,107441
        Brunei Darussalam,1982Jun,na
        Indonesia,1982Jun,na
        Malaysia,1982Jun,na
        Myanmar,1982Jun,na
        Philippines,1982Jun,na
        Thailand,1982Jun,na
        Vietnam,1982Jun,na
        Other Markets In Southeast Asia,1982Jun,na
    Greater China,1982Jun,na
        China,1982Jun,89
        Hong Kong SAR,1982Jun,6357
        Taiwan,1982Jun,3772
        Other Markets In Greater China,1982Jun,na
    North Asia,1982Jun,na
        Japan,1982Jun,28715
        South Korea,1982Jun,3032
        Other Markets In North Asia,1982Jun,na
    South Asia,1982Jun,14094
        Bangladesh,1982Jun,749
        India,1982Jun,10322
        Pakistan,1982Jun,1291
        Sri Lanka,1982Jun,1379
        Other Markets In South Asia,1982Jun,353
    West Asia,1982Jun,3409
        Iran,1982Jun,49
        Israel,1982Jun,na
        Kuwait,1982Jun,178
        Saudi Arabia,1982Jun,1678
        United Arab Emirates,1982Jun,731
        Other Markets In West Asia,1982Jun,na
    Americas,1982Jun,14354
        Canada,1982Jun,1799
        USA,1982Jun,11716
        Other Markets In Americas,1982Jun,na
    Europe,1982Jun,26525
        Belgium & Luxembourg,1982Jun,485
        Denmark,1982Jun,524
        Finland,1982Jun,235
        France,1982Jun,2624
        Germany,1982Jun,3969
        Italy,1982Jun,1504
        Netherlands,1982Jun,2941
        Norway,1982Jun,709
        Rep Of Ireland,1982Jun,na
        Russian Federation,1982Jun,na
        Spain,1982Jun,na
        Sweden,1982Jun,765
        Switzerland,1982Jun,1451
        United Kingdom,1982Jun,9402
        Other Markets In Europe,1982Jun,na
    Oceania,1982Jun,35173
        Australia,1982Jun,28973
        New Zealand,1982Jun,5469
        Other Markets In Oceania,1982Jun,731
    Africa,1982Jun,757
        Egypt,1982Jun,na
        Mauritius,1982Jun,na
        South Africa (Rep Of),1982Jun,na
        Other Markets In Africa,1982Jun,na
    Others,1982Jun,154
Total International Visitor Arrivals By Inbound Tourism Markets,1982May,232737
    Southeast Asia,1982May,95876
        Brunei Darussalam,1982May,na
        Indonesia,1982May,na
        Malaysia,1982May,na
        Myanmar,1982May,na
        Philippines,1982May,na
        Thailand,1982May,na
        Vietnam,1982May,na
        Other Markets In Southeast Asia,1982May,na
    Greater China,1982May,na
        China,1982May,49
        Hong Kong SAR,1982May,5686
        Taiwan,1982May,4703
        Other Markets In Greater China,1982May,na
    North Asia,1982May,na
        Japan,1982May,27602
        South Korea,1982May,2745
        Other Markets In North Asia,1982May,na
    South Asia,1982May,17101
        Bangladesh,1982May,668
        India,1982May,13381
        Pakistan,1982May,1134
        Sri Lanka,1982May,1662
        Other Markets In South Asia,1982May,256
    West Asia,1982May,3222
        Iran,1982May,88
        Israel,1982May,na
        Kuwait,1982May,181
        Saudi Arabia,1982May,1395
        United Arab Emirates,1982May,667
        Other Markets In West Asia,1982May,na
    Americas,1982May,17131
        Canada,1982May,2095
        USA,1982May,13980
        Other Markets In Americas,1982May,na
    Europe,1982May,30016
        Belgium & Luxembourg,1982May,734
        Denmark,1982May,558
        Finland,1982May,350
        France,1982May,3205
        Germany,1982May,4327
        Italy,1982May,1567
        Netherlands,1982May,3143
        Norway,1982May,652
        Rep Of Ireland,1982May,na
        Russian Federation,1982May,na
        Spain,1982May,na
        Sweden,1982May,977
        Switzerland,1982May,1774
        United Kingdom,1982May,10667
        Other Markets In Europe,1982May,na
    Oceania,1982May,27511
        Australia,1982May,21446
        New Zealand,1982May,5355
        Other Markets In Oceania,1982May,710
    Africa,1982May,868
        Egypt,1982May,na
        Mauritius,1982May,na
        South Africa (Rep Of),1982May,na
        Other Markets In Africa,1982May,na
    Others,1982May,196
Total International Visitor Arrivals By Inbound Tourism Markets,1982Apr,225827
    Southeast Asia,1982Apr,90806
        Brunei Darussalam,1982Apr,na
        Indonesia,1982Apr,na
        Malaysia,1982Apr,na
        Myanmar,1982Apr,na
        Philippines,1982Apr,na
        Thailand,1982Apr,na
        Vietnam,1982Apr,na
        Other Markets In Southeast Asia,1982Apr,na
    Greater China,1982Apr,na
        China,1982Apr,34
        Hong Kong SAR,1982Apr,7671
        Taiwan,1982Apr,5036
        Other Markets In Greater China,1982Apr,na
    North Asia,1982Apr,na
        Japan,1982Apr,24943
        South Korea,1982Apr,2771
        Other Markets In North Asia,1982Apr,na
    South Asia,1982Apr,13555
        Bangladesh,1982Apr,634
        India,1982Apr,9628
        Pakistan,1982Apr,1131
        Sri Lanka,1982Apr,1835
        Other Markets In South Asia,1982Apr,327
    West Asia,1982Apr,3690
        Iran,1982Apr,82
        Israel,1982Apr,na
        Kuwait,1982Apr,169
        Saudi Arabia,1982Apr,1675
        United Arab Emirates,1982Apr,788
        Other Markets In West Asia,1982Apr,na
    Americas,1982Apr,16164
        Canada,1982Apr,2172
        USA,1982Apr,12879
        Other Markets In Americas,1982Apr,na
    Europe,1982Apr,35613
        Belgium & Luxembourg,1982Apr,780
        Denmark,1982Apr,567
        Finland,1982Apr,283
        France,1982Apr,3268
        Germany,1982Apr,6769
        Italy,1982Apr,1421
        Netherlands,1982Apr,3047
        Norway,1982Apr,677
        Rep Of Ireland,1982Apr,na
        Russian Federation,1982Apr,na
        Spain,1982Apr,na
        Sweden,1982Apr,1283
        Switzerland,1982Apr,2227
        United Kingdom,1982Apr,12426
        Other Markets In Europe,1982Apr,na
    Oceania,1982Apr,24377
        Australia,1982Apr,20562
        New Zealand,1982Apr,3168
        Other Markets In Oceania,1982Apr,647
    Africa,1982Apr,955
        Egypt,1982Apr,na
        Mauritius,1982Apr,na
        South Africa (Rep Of),1982Apr,na
        Other Markets In Africa,1982Apr,na
    Others,1982Apr,151
Total International Visitor Arrivals By Inbound Tourism Markets,1982Mar,235113
    Southeast Asia,1982Mar,82332
        Brunei Darussalam,1982Mar,na
        Indonesia,1982Mar,na
        Malaysia,1982Mar,na
        Myanmar,1982Mar,na
        Philippines,1982Mar,na
        Thailand,1982Mar,na
        Vietnam,1982Mar,na
        Other Markets In Southeast Asia,1982Mar,na
    Greater China,1982Mar,na
        China,1982Mar,46
        Hong Kong SAR,1982Mar,6177
        Taiwan,1982Mar,5552
        Other Markets In Greater China,1982Mar,na
    North Asia,1982Mar,na
        Japan,1982Mar,38273
        South Korea,1982Mar,2638
        Other Markets In North Asia,1982Mar,na
    South Asia,1982Mar,13847
        Bangladesh,1982Mar,867
        India,1982Mar,9521
        Pakistan,1982Mar,1181
        Sri Lanka,1982Mar,1909
        Other Markets In South Asia,1982Mar,369
    West Asia,1982Mar,3924
        Iran,1982Mar,120
        Israel,1982Mar,na
        Kuwait,1982Mar,596
        Saudi Arabia,1982Mar,1729
        United Arab Emirates,1982Mar,656
        Other Markets In West Asia,1982Mar,na
    Americas,1982Mar,15901
        Canada,1982Mar,2388
        USA,1982Mar,12892
        Other Markets In Americas,1982Mar,na
    Europe,1982Mar,39669
        Belgium & Luxembourg,1982Mar,777
        Denmark,1982Mar,829
        Finland,1982Mar,335
        France,1982Mar,3610
        Germany,1982Mar,7001
        Italy,1982Mar,2440
        Netherlands,1982Mar,3114
        Norway,1982Mar,806
        Rep Of Ireland,1982Mar,na
        Russian Federation,1982Mar,na
        Spain,1982Mar,na
        Sweden,1982Mar,1596
        Switzerland,1982Mar,2406
        United Kingdom,1982Mar,13998
        Other Markets In Europe,1982Mar,na
    Oceania,1982Mar,25585
        Australia,1982Mar,21105
        New Zealand,1982Mar,3915
        Other Markets In Oceania,1982Mar,565
    Africa,1982Mar,922
        Egypt,1982Mar,na
        Mauritius,1982Mar,na
        South Africa (Rep Of),1982Mar,na
        Other Markets In Africa,1982Mar,na
    Others,1982Mar,164
Total International Visitor Arrivals By Inbound Tourism Markets,1982Feb,225008
    Southeast Asia,1982Feb,80910
        Brunei Darussalam,1982Feb,na
        Indonesia,1982Feb,na
        Malaysia,1982Feb,na
        Myanmar,1982Feb,na
        Philippines,1982Feb,na
        Thailand,1982Feb,na
        Vietnam,1982Feb,na
        Other Markets In Southeast Asia,1982Feb,na
    Greater China,1982Feb,na
        China,1982Feb,72
        Hong Kong SAR,1982Feb,6371
        Taiwan,1982Feb,6204
        Other Markets In Greater China,1982Feb,na
    North Asia,1982Feb,na
        Japan,1982Feb,36004
        South Korea,1982Feb,2308
        Other Markets In North Asia,1982Feb,na
    South Asia,1982Feb,14520
        Bangladesh,1982Feb,961
        India,1982Feb,10453
        Pakistan,1982Feb,1055
        Sri Lanka,1982Feb,1729
        Other Markets In South Asia,1982Feb,322
    West Asia,1982Feb,3366
        Iran,1982Feb,83
        Israel,1982Feb,na
        Kuwait,1982Feb,275
        Saudi Arabia,1982Feb,1493
        United Arab Emirates,1982Feb,586
        Other Markets In West Asia,1982Feb,na
    Americas,1982Feb,15162
        Canada,1982Feb,2411
        USA,1982Feb,12150
        Other Markets In Americas,1982Feb,na
    Europe,1982Feb,37046
        Belgium & Luxembourg,1982Feb,636
        Denmark,1982Feb,896
        Finland,1982Feb,299
        France,1982Feb,2954
        Germany,1982Feb,6381
        Italy,1982Feb,2620
        Netherlands,1982Feb,2962
        Norway,1982Feb,840
        Rep Of Ireland,1982Feb,na
        Russian Federation,1982Feb,na
        Spain,1982Feb,na
        Sweden,1982Feb,1484
        Switzerland,1982Feb,2381
        United Kingdom,1982Feb,13081
        Other Markets In Europe,1982Feb,na
    Oceania,1982Feb,21465
        Australia,1982Feb,17638
        New Zealand,1982Feb,2972
        Other Markets In Oceania,1982Feb,855
    Africa,1982Feb,1112
        Egypt,1982Feb,na
        Mauritius,1982Feb,na
        South Africa (Rep Of),1982Feb,na
        Other Markets In Africa,1982Feb,na
    Others,1982Feb,433
Total International Visitor Arrivals By Inbound Tourism Markets,1982Jan,239088
    Southeast Asia,1982Jan,86569
        Brunei Darussalam,1982Jan,na
        Indonesia,1982Jan,na
        Malaysia,1982Jan,na
        Myanmar,1982Jan,na
        Philippines,1982Jan,na
