age_group,year_month,no_of_visitors
45-54 Years,2020-11-01,2126
55-64 Years,2020-11-01,1145
65 & Over,2020-11-01,372
Under 15 Years,2020-10-01,826
15-19 Years,2020-10-01,507
20-24 Years,2020-10-01,1538
25-34 Years,2020-10-01,4452
35-44 Years,2020-10-01,3246
45-54 Years,2020-10-01,1617
55-64 Years,2020-10-01,927
65 & Over,2020-10-01,286
Under 15 Years,2020-09-01,736
15-19 Years,2020-09-01,312
20-24 Years,2020-09-01,1204
25-34 Years,2020-09-01,2897
35-44 Years,2020-09-01,2200
45-54 Years,2020-09-01,1297
55-64 Years,2020-09-01,687
65 & Over,2020-09-01,167
Under 15 Years,2020-08-01,943
15-19 Years,2020-08-01,553
20-24 Years,2020-08-01,1546
25-34 Years,2020-08-01,2325
35-44 Years,2020-08-01,1893
45-54 Years,2020-08-01,1067
55-64 Years,2020-08-01,474
65 & Over,2020-08-01,111
Under 15 Years,2020-07-01,1017
15-19 Years,2020-07-01,641
20-24 Years,2020-07-01,800
25-34 Years,2020-07-01,1643
35-44 Years,2020-07-01,1434
45-54 Years,2020-07-01,858
55-64 Years,2020-07-01,358
65 & Over,2020-07-01,92
Under 15 Years,2020-06-01,239
15-19 Years,2020-06-01,233
20-24 Years,2020-06-01,139
25-34 Years,2020-06-01,514
35-44 Years,2020-06-01,496
45-54 Years,2020-06-01,341
55-64 Years,2020-06-01,176
65 & Over,2020-06-01,33
Under 15 Years,2020-05-01,32
15-19 Years,2020-05-01,18
20-24 Years,2020-05-01,41
25-34 Years,2020-05-01,172
35-44 Years,2020-05-01,264
45-54 Years,2020-05-01,230
55-64 Years,2020-05-01,117
65 & Over,2020-05-01,6
Under 15 Years,2020-04-01,33
15-19 Years,2020-04-01,13
20-24 Years,2020-04-01,24
25-34 Years,2020-04-01,157
35-44 Years,2020-04-01,233
45-54 Years,2020-04-01,168
55-64 Years,2020-04-01,106
65 & Over,2020-04-01,16
Under 15 Years,2020-03-01,10462
15-19 Years,2020-03-01,4159
20-24 Years,2020-03-01,21276
25-34 Years,2020-03-01,64271
35-44 Years,2020-03-01,45909
45-54 Years,2020-03-01,35635
55-64 Years,2020-03-01,32708
65 & Over,2020-03-01,25581
Under 15 Years,2020-02-01,39303
15-19 Years,2020-02-01,17269
20-24 Years,2020-02-01,59710
25-34 Years,2020-02-01,174489
35-44 Years,2020-02-01,132549
45-54 Years,2020-02-01,113483
55-64 Years,2020-02-01,107733
65 & Over,2020-02-01,88430
Under 15 Years,2020-01-01,198131
15-19 Years,2020-01-01,63286
20-24 Years,2020-01-01,110621
25-34 Years,2020-01-01,331431
35-44 Years,2020-01-01,328423
45-54 Years,2020-01-01,263025
55-64 Years,2020-01-01,220710
65 & Over,2020-01-01,172475
Under 15 Years,2019-12-01,202226
15-19 Years,2019-12-01,79876
20-24 Years,2019-12-01,110732
25-34 Years,2019-12-01,345625
35-44 Years,2019-12-01,319777
45-54 Years,2019-12-01,267469
55-64 Years,2019-12-01,233744
65 & Over,2019-12-01,165512
Under 15 Years,2019-11-01,86838
15-19 Years,2019-11-01,42490
20-24 Years,2019-11-01,90550
25-34 Years,2019-11-01,348981
35-44 Years,2019-11-01,309427
45-54 Years,2019-11-01,267189
55-64 Years,2019-11-01,236512
65 & Over,2019-11-01,151681
Under 15 Years,2019-10-01,122619
15-19 Years,2019-10-01,52888
20-24 Years,2019-10-01,87326
25-34 Years,2019-10-01,350584
35-44 Years,2019-10-01,306599
45-54 Years,2019-10-01,252764
55-64 Years,2019-10-01,220329
65 & Over,2019-10-01,137370
Under 15 Years,2019-09-01,88920
15-19 Years,2019-09-01,32116
20-24 Years,2019-09-01,104935
25-34 Years,2019-09-01,367724
35-44 Years,2019-09-01,295810
45-54 Years,2019-09-01,245379
55-64 Years,2019-09-01,208317
65 & Over,2019-09-01,120342
Under 15 Years,2019-08-01,241351
15-19 Years,2019-08-01,76998
20-24 Years,2019-08-01,129418
25-34 Years,2019-08-01,364099
35-44 Years,2019-08-01,371391
45-54 Years,2019-08-01,269323
55-64 Years,2019-08-01,178831
65 & Over,2019-08-01,104691
Under 15 Years,2019-07-01,262823
15-19 Years,2019-07-01,102231
20-24 Years,2019-07-01,134811
25-34 Years,2019-07-01,352274
35-44 Years,2019-07-01,376777
45-54 Years,2019-07-01,284344
55-64 Years,2019-07-01,183056
65 & Over,2019-07-01,106277
Under 15 Years,2019-06-01,175067
15-19 Years,2019-06-01,71449
20-24 Years,2019-06-01,106258
25-34 Years,2019-06-01,325457
35-44 Years,2019-06-01,311988
45-54 Years,2019-06-01,249441
55-64 Years,2019-06-01,194262
65 & Over,2019-06-01,117925
Under 15 Years,2019-05-01,126558
15-19 Years,2019-05-01,43831
20-24 Years,2019-05-01,85956
25-34 Years,2019-05-01,326172
35-44 Years,2019-05-01,305576
45-54 Years,2019-05-01,248911
55-64 Years,2019-05-01,213824
65 & Over,2019-05-01,136963
Under 15 Years,2019-04-01,158899
15-19 Years,2019-04-01,43698
20-24 Years,2019-04-01,83078
25-34 Years,2019-04-01,346576
35-44 Years,2019-04-01,320037
45-54 Years,2019-04-01,259876
55-64 Years,2019-04-01,225655
65 & Over,2019-04-01,158905
Under 15 Years,2019-03-01,101953
15-19 Years,2019-03-01,38424
20-24 Years,2019-03-01,86146
25-34 Years,2019-03-01,330417
35-44 Years,2019-03-01,296244
45-54 Years,2019-03-01,260209
55-64 Years,2019-03-01,259435
65 & Over,2019-03-01,191836
Under 15 Years,2019-02-01,144422
15-19 Years,2019-02-01,40839
20-24 Years,2019-02-01,96595
25-34 Years,2019-02-01,312335
35-44 Years,2019-02-01,294017
45-54 Years,2019-02-01,236913
55-64 Years,2019-02-01,210103
65 & Over,2019-02-01,163827
Under 15 Years,2019-01-01,173757
15-19 Years,2019-01-01,59041
20-24 Years,2019-01-01,106986
25-34 Years,2019-01-01,319405
35-44 Years,2019-01-01,317234
45-54 Years,2019-01-01,260286
55-64 Years,2019-01-01,221242
65 & Over,2019-01-01,166642
Under 15 Years,2018-12-01,193722
15-19 Years,2018-12-01,70939
20-24 Years,2018-12-01,102776
25-34 Years,2018-12-01,322781
35-44 Years,2018-12-01,302001
45-54 Years,2018-12-01,255941
55-64 Years,2018-12-01,214465
65 & Over,2018-12-01,140592
Under 15 Years,2018-11-01,87119
15-19 Years,2018-11-01,42538
20-24 Years,2018-11-01,84627
25-34 Years,2018-11-01,321490
35-44 Years,2018-11-01,280113
45-54 Years,2018-11-01,243349
55-64 Years,2018-11-01,212227
65 & Over,2018-11-01,135522
Under 15 Years,2018-10-01,113755
15-19 Years,2018-10-01,45341
20-24 Years,2018-10-01,83504
25-34 Years,2018-10-01,341227
35-44 Years,2018-10-01,298422
45-54 Years,2018-10-01,248736
55-64 Years,2018-10-01,209339
65 & Over,2018-10-01,127056
Under 15 Years,2018-09-01,89118
15-19 Years,2018-09-01,30000
20-24 Years,2018-09-01,100917
25-34 Years,2018-09-01,361136
35-44 Years,2018-09-01,284571
45-54 Years,2018-09-01,239218
55-64 Years,2018-09-01,197755
65 & Over,2018-09-01,112434
Under 15 Years,2018-08-01,232589
15-19 Years,2018-08-01,75601
20-24 Years,2018-08-01,126185
25-34 Years,2018-08-01,353258
35-44 Years,2018-08-01,363124
