Region/Country,year_month,no_of_visitors
Other Markets In Southeast Asia,2024-06-01,7548
Greater China,2024-06-01,277314
China,2024-06-01,217656
Hong Kong SAR,2024-06-01,23831
Taiwan,2024-06-01,34154
Other Markets In Greater China,2024-06-01,1673
North Asia,2024-06-01,73480
Japan,2024-06-01,33936
South Korea,2024-06-01,39496
Other Markets In North Asia,2024-06-01,48
South Asia,2024-06-01,143130
Bangladesh,2024-06-01,12594
India,2024-06-01,120380
Pakistan,2024-06-01,2020
Sri Lanka,2024-06-01,5036
Other Markets In South Asia,2024-06-01,3100
West Asia,2024-06-01,16007
Iran,2024-06-01,437
Israel,2024-06-01,1138
Kuwait,2024-06-01,1007
Saudi Arabia,2024-06-01,3589
United Arab Emirates,2024-06-01,6516
Other Markets In West Asia,2024-06-01,3320
Americas,2024-06-01,75896
Canada,2024-06-01,7987
USA,2024-06-01,61459
Other Markets In Americas,2024-06-01,6450
Europe,2024-06-01,101854
Belgium & Luxembourg,2024-06-01,2252
Denmark,2024-06-01,1462
Finland,2024-06-01,1610
France,2024-06-01,11040
Germany,2024-06-01,14014
Italy,2024-06-01,4907
Netherlands,2024-06-01,5114
Norway,2024-06-01,2038
Rep Of Ireland,2024-06-01,2108
Russian Federation,2024-06-01,2907
Spain,2024-06-01,4259
Sweden,2024-06-01,1984
Switzerland,2024-06-01,4513
United Kingdom,2024-06-01,28752
Other Markets In Europe,2024-06-01,14894
Oceania,2024-06-01,105433
Australia,2024-06-01,88043
New Zealand,2024-06-01,14713
Other Markets In Oceania,2024-06-01,2677
Africa,2024-06-01,5411
Egypt,2024-06-01,241
Mauritius,2024-06-01,283
South Africa (Rep Of),2024-06-01,2554
Other Markets In Africa,2024-06-01,2333
Others,2024-06-01,806
Total International Visitor Arrivals By Inbound Tourism Markets,2024-05-01,1277160
Southeast Asia,2024-05-01,431069
Brunei Darussalam,2024-05-01,3857
Indonesia,2024-05-01,189182
Malaysia,2024-05-01,95621
Myanmar,2024-05-01,13356
Philippines,2024-05-01,58311
Thailand,2024-05-01,32818
Vietnam,2024-05-01,31215
Other Markets In Southeast Asia,2024-05-01,6709
Greater China,2024-05-01,276637
China,2024-05-01,222335
Hong Kong SAR,2024-05-01,24044
Taiwan,2024-05-01,28797
Other Markets In Greater China,2024-05-01,1461
North Asia,2024-05-01,78968
Japan,2024-05-01,39077
South Korea,2024-05-01,39825
Other Markets In North Asia,2024-05-01,66
South Asia,2024-05-01,178227
Bangladesh,2024-05-01,10959
India,2024-05-01,156572
Pakistan,2024-05-01,1309
Sri Lanka,2024-05-01,5780
Other Markets In South Asia,2024-05-01,3607
West Asia,2024-05-01,10769
Iran,2024-05-01,340
Israel,2024-05-01,1303
Kuwait,2024-05-01,217
Saudi Arabia,2024-05-01,1384
United Arab Emirates,2024-05-01,5435
Other Markets In West Asia,2024-05-01,2090
Americas,2024-05-01,73351
Canada,2024-05-01,11155
USA,2024-05-01,54520
Other Markets In Americas,2024-05-01,7676
Europe,2024-05-01,125674
Belgium & Luxembourg,2024-05-01,2631
Denmark,2024-05-01,1736
