Region/Country,year_month,no_of_visitors
China,1984-08-01,412
Hong Kong SAR,1984-08-01,12989
Taiwan,1984-08-01,7899
Other Markets In Greater China,1984-08-01,na
North Asia,1984-08-01,na
Japan,1984-08-01,43327
South Korea,1984-08-01,3037
Other Markets In North Asia,1984-08-01,na
South Asia,1984-08-01,20370
Bangladesh,1984-08-01,962
India,1984-08-01,15154
Pakistan,1984-08-01,1582
Sri Lanka,1984-08-01,2221
Other Markets In South Asia,1984-08-01,451
West Asia,1984-08-01,5167
Iran,1984-08-01,393
Israel,1984-08-01,na
Kuwait,1984-08-01,259
Saudi Arabia,1984-08-01,2282
United Arab Emirates,1984-08-01,802
Other Markets In West Asia,1984-08-01,na
Americas,1984-08-01,15988
Canada,1984-08-01,1968
USA,1984-08-01,13030
Other Markets In Americas,1984-08-01,na
Europe,1984-08-01,41075
Belgium & Luxembourg,1984-08-01,867
Denmark,1984-08-01,682
Finland,1984-08-01,238
France,1984-08-01,5411
Germany,1984-08-01,6042
Italy,1984-08-01,3927
Netherlands,1984-08-01,3992
Norway,1984-08-01,645
Rep Of Ireland,1984-08-01,na
Russian Federation,1984-08-01,na
Spain,1984-08-01,na
Sweden,1984-08-01,965
Switzerland,1984-08-01,1960
United Kingdom,1984-08-01,12741
Other Markets In Europe,1984-08-01,na
Oceania,1984-08-01,39594
Australia,1984-08-01,30686
New Zealand,1984-08-01,8141
Other Markets In Oceania,1984-08-01,767
Africa,1984-08-01,1228
Egypt,1984-08-01,na
Mauritius,1984-08-01,na
South Africa (Rep Of),1984-08-01,na
Other Markets In Africa,1984-08-01,na
Others,1984-08-01,73
Total International Visitor Arrivals By Inbound Tourism Markets,1984-07-01,261402
Southeast Asia,1984-07-01,92009
Brunei Darussalam,1984-07-01,na
Indonesia,1984-07-01,na
Malaysia,1984-07-01,na
Myanmar,1984-07-01,na
Philippines,1984-07-01,na
Thailand,1984-07-01,na
Vietnam,1984-07-01,na
Other Markets In Southeast Asia,1984-07-01,na
Greater China,1984-07-01,na
China,1984-07-01,377
Hong Kong SAR,1984-07-01,10090
Taiwan,1984-07-01,9073
Other Markets In Greater China,1984-07-01,na
North Asia,1984-07-01,na
Japan,1984-07-01,28958
South Korea,1984-07-01,3060
Other Markets In North Asia,1984-07-01,na
South Asia,1984-07-01,22558
Bangladesh,1984-07-01,750
India,1984-07-01,17539
Pakistan,1984-07-01,2038
Sri Lanka,1984-07-01,1838
Other Markets In South Asia,1984-07-01,393
West Asia,1984-07-01,5636
Iran,1984-07-01,48
Israel,1984-07-01,na
Kuwait,1984-07-01,307
Saudi Arabia,1984-07-01,2743
United Arab Emirates,1984-07-01,936
Other Markets In West Asia,1984-07-01,na
Americas,1984-07-01,17204
Canada,1984-07-01,2207
USA,1984-07-01,13603
Other Markets In Americas,1984-07-01,na
Europe,1984-07-01,37822
Belgium & Luxembourg,1984-07-01,1216
Denmark,1984-07-01,737
Finland,1984-07-01,196
France,1984-07-01,4387
Germany,1984-07-01,5425
Italy,1984-07-01,2153
Netherlands,1984-07-01,4757
Norway,1984-07-01,731
Rep Of Ireland,1984-07-01,na
Russian Federation,1984-07-01,na
Spain,1984-07-01,na
Sweden,1984-07-01,957
Switzerland,1984-07-01,2474
United Kingdom,1984-07-01,11655
Other Markets In Europe,1984-07-01,na
Oceania,1984-07-01,33273
Australia,1984-07-01,25925
New Zealand,1984-07-01,6545
Other Markets In Oceania,1984-07-01,803
Africa,1984-07-01,1133
Egypt,1984-07-01,na
Mauritius,1984-07-01,na
South Africa (Rep Of),1984-07-01,na
Other Markets In Africa,1984-07-01,na
Others,1984-07-01,47
Total International Visitor Arrivals By Inbound Tourism Markets,1984-06-01,240184
Southeast Asia,1984-06-01,95721
Brunei Darussalam,1984-06-01,na
Indonesia,1984-06-01,na
Malaysia,1984-06-01,na
Myanmar,1984-06-01,na
Philippines,1984-06-01,na
Thailand,1984-06-01,na
Vietnam,1984-06-01,na
Other Markets In Southeast Asia,1984-06-01,na
Greater China,1984-06-01,na
China,1984-06-01,408
Hong Kong SAR,1984-06-01,7289
Taiwan,1984-06-01,5318
Other Markets In Greater China,1984-06-01,na
North Asia,1984-06-01,na
Japan,1984-06-01,26819
South Korea,1984-06-01,3511
Other Markets In North Asia,1984-06-01,na
South Asia,1984-06-01,20864
Bangladesh,1984-06-01,923
India,1984-06-01,16308
Pakistan,1984-06-01,1373
Sri Lanka,1984-06-01,1839
Other Markets In South Asia,1984-06-01,421
West Asia,1984-06-01,3501
Iran,1984-06-01,30
Israel,1984-06-01,na
Kuwait,1984-06-01,226
Saudi Arabia,1984-06-01,1622
United Arab Emirates,1984-06-01,727
Other Markets In West Asia,1984-06-01,na
Americas,1984-06-01,16992
Canada,1984-06-01,1940
USA,1984-06-01,14252
Other Markets In Americas,1984-06-01,na
Europe,1984-06-01,26877
Belgium & Luxembourg,1984-06-01,490
Denmark,1984-06-01,679
Finland,1984-06-01,227
France,1984-06-01,2863
Germany,1984-06-01,3879
Italy,1984-06-01,1692
Netherlands,1984-06-01,2599
Norway,1984-06-01,625
Rep Of Ireland,1984-06-01,na
Russian Federation,1984-06-01,na
Spain,1984-06-01,na
Sweden,1984-06-01,847
Switzerland,1984-06-01,1436
United Kingdom,1984-06-01,9380
Other Markets In Europe,1984-06-01,na
Oceania,1984-06-01,31814
Australia,1984-06-01,25808
New Zealand,1984-06-01,5310
Other Markets In Oceania,1984-06-01,696
Africa,1984-06-01,908
Egypt,1984-06-01,na
Mauritius,1984-06-01,na
South Africa (Rep Of),1984-06-01,na
Other Markets In Africa,1984-06-01,na
Others,1984-06-01,52
Total International Visitor Arrivals By Inbound Tourism Markets,1984-05-01,248953
Southeast Asia,1984-05-01,89534
Brunei Darussalam,1984-05-01,na
Indonesia,1984-05-01,na
Malaysia,1984-05-01,na
Myanmar,1984-05-01,na
Philippines,1984-05-01,na
Thailand,1984-05-01,na
Vietnam,1984-05-01,na
Other Markets In Southeast Asia,1984-05-01,na
Greater China,1984-05-01,na
China,1984-05-01,337
Hong Kong SAR,1984-05-01,6975
Taiwan,1984-05-01,6206
Other Markets In Greater China,1984-05-01,na
North Asia,1984-05-01,na
Japan,1984-05-01,28791
South Korea,1984-05-01,3004
Other Markets In North Asia,1984-05-01,na
South Asia,1984-05-01,24736
Bangladesh,1984-05-01,838
India,1984-05-01,20049
Pakistan,1984-05-01,1477
Sri Lanka,1984-05-01,2016
Other Markets In South Asia,1984-05-01,356
West Asia,1984-05-01,3232
Iran,1984-05-01,43
Israel,1984-05-01,na
Kuwait,1984-05-01,224
Saudi Arabia,1984-05-01,1270
United Arab Emirates,1984-05-01,624
Other Markets In West Asia,1984-05-01,na
Americas,1984-05-01,19802
Canada,1984-05-01,2140
USA,1984-05-01,16648
Other Markets In Americas,1984-05-01,na
Europe,1984-05-01,32447
Belgium & Luxembourg,1984-05-01,810
Denmark,1984-05-01,773
Finland,1984-05-01,365
France,1984-05-01,3215
Germany,1984-05-01,5144
Italy,1984-05-01,1757
Netherlands,1984-05-01,3247
Norway,1984-05-01,619
Rep Of Ireland,1984-05-01,na
Russian Federation,1984-05-01,na
Spain,1984-05-01,na
Sweden,1984-05-01,1292
Switzerland,1984-05-01,2023
United Kingdom,1984-05-01,10737
Other Markets In Europe,1984-05-01,na
Oceania,1984-05-01,32662
Australia,1984-05-01,26860
New Zealand,1984-05-01,5217
Other Markets In Oceania,1984-05-01,585
Africa,1984-05-01,1077
Egypt,1984-05-01,na
Mauritius,1984-05-01,na
South Africa (Rep Of),1984-05-01,na
Other Markets In Africa,1984-05-01,na
Others,1984-05-01,20
Total International Visitor Arrivals By Inbound Tourism Markets,1984-04-01,245480
Southeast Asia,1984-04-01,95523
Brunei Darussalam,1984-04-01,na
Indonesia,1984-04-01,na
Malaysia,1984-04-01,na
Myanmar,1984-04-01,na
Philippines,1984-04-01,na
Thailand,1984-04-01,na
Vietnam,1984-04-01,na
Other Markets In Southeast Asia,1984-04-01,na
Greater China,1984-04-01,na
China,1984-04-01,287
Hong Kong SAR,1984-04-01,8039
Taiwan,1984-04-01,6118
Other Markets In Greater China,1984-04-01,na
North Asia,1984-04-01,na
Japan,1984-04-01,25717
South Korea,1984-04-01,2968
Other Markets In North Asia,1984-04-01,na
South Asia,1984-04-01,19654
Bangladesh,1984-04-01,776
India,1984-04-01,14602
Pakistan,1984-04-01,1681
Sri Lanka,1984-04-01,2176
Other Markets In South Asia,1984-04-01,419
West Asia,1984-04-01,4180
Iran,1984-04-01,26
Israel,1984-04-01,na
Kuwait,1984-04-01,436
Saudi Arabia,1984-04-01,1805
United Arab Emirates,1984-04-01,806
Other Markets In West Asia,1984-04-01,na
Americas,1984-04-01,16874
Canada,1984-04-01,2132
USA,1984-04-01,13846
Other Markets In Americas,1984-04-01,na
Europe,1984-04-01,39346
Belgium & Luxembourg,1984-04-01,868
Denmark,1984-04-01,934
Finland,1984-04-01,334
France,1984-04-01,3292
Germany,1984-04-01,7822
Italy,1984-04-01,2014
Netherlands,1984-04-01,3442
Norway,1984-04-01,833
Rep Of Ireland,1984-04-01,na
Russian Federation,1984-04-01,na
Spain,1984-04-01,na
Sweden,1984-04-01,1538
Switzerland,1984-04-01,2375
United Kingdom,1984-04-01,12867
Other Markets In Europe,1984-04-01,na
Oceania,1984-04-01,25582
Australia,1984-04-01,20890
New Zealand,1984-04-01,4029
Other Markets In Oceania,1984-04-01,663
Africa,1984-04-01,1020
Egypt,1984-04-01,na
Mauritius,1984-04-01,na
South Africa (Rep Of),1984-04-01,na
Other Markets In Africa,1984-04-01,na
Others,1984-04-01,39
Total International Visitor Arrivals By Inbound Tourism Markets,1984-03-01,239414
Southeast Asia,1984-03-01,82768
Brunei Darussalam,1984-03-01,na
Indonesia,1984-03-01,na
Malaysia,1984-03-01,na
Myanmar,1984-03-01,na
Philippines,1984-03-01,na
Thailand,1984-03-01,na
Vietnam,1984-03-01,na
Other Markets In Southeast Asia,1984-03-01,na
Greater China,1984-03-01,na
China,1984-03-01,253
Hong Kong SAR,1984-03-01,6814
Taiwan,1984-03-01,7112
Other Markets In Greater China,1984-03-01,na
North Asia,1984-03-01,na
Japan,1984-03-01,36480
South Korea,1984-03-01,3095
Other Markets In North Asia,1984-03-01,na
South Asia,1984-03-01,18611
Bangladesh,1984-03-01,607
India,1984-03-01,13413
Pakistan,1984-03-01,1751
Sri Lanka,1984-03-01,2519
Other Markets In South Asia,1984-03-01,321
West Asia,1984-03-01,3512
Iran,1984-03-01,60
Israel,1984-03-01,na
Kuwait,1984-03-01,238
Saudi Arabia,1984-03-01,1546
United Arab Emirates,1984-03-01,720
Other Markets In West Asia,1984-03-01,na
Americas,1984-03-01,18727
Canada,1984-03-01,2542
USA,1984-03-01,15654
Other Markets In Americas,1984-03-01,na
Europe,1984-03-01,39297
Belgium & Luxembourg,1984-03-01,716
Denmark,1984-03-01,933
Finland,1984-03-01,376
France,1984-03-01,3415
Germany,1984-03-01,6978
Italy,1984-03-01,2210
Netherlands,1984-03-01,2904
Norway,1984-03-01,775
Rep Of Ireland,1984-03-01,na
Russian Federation,1984-03-01,na
Spain,1984-03-01,na
Sweden,1984-03-01,1600
Switzerland,1984-03-01,2337
United Kingdom,1984-03-01,14301
Other Markets In Europe,1984-03-01,na
Oceania,1984-03-01,21630
Australia,1984-03-01,17520
New Zealand,1984-03-01,3508
Other Markets In Oceania,1984-03-01,602
Africa,1984-03-01,934
Egypt,1984-03-01,na
Mauritius,1984-03-01,na
South Africa (Rep Of),1984-03-01,na
Other Markets In Africa,1984-03-01,na
Others,1984-03-01,34
Total International Visitor Arrivals By Inbound Tourism Markets,1984-02-01,221968
Southeast Asia,1984-02-01,74694
Brunei Darussalam,1984-02-01,na
Indonesia,1984-02-01,na
Malaysia,1984-02-01,na
Myanmar,1984-02-01,na
Philippines,1984-02-01,na
Thailand,1984-02-01,na
Vietnam,1984-02-01,na
Other Markets In Southeast Asia,1984-02-01,na
Greater China,1984-02-01,na
China,1984-02-01,287
Hong Kong SAR,1984-02-01,10968
Taiwan,1984-02-01,9041
Other Markets In Greater China,1984-02-01,na
North Asia,1984-02-01,na
Japan,1984-02-01,29870
South Korea,1984-02-01,2528
Other Markets In North Asia,1984-02-01,na
South Asia,1984-02-01,17900
Bangladesh,1984-02-01,812
India,1984-02-01,13476
Pakistan,1984-02-01,1598
Sri Lanka,1984-02-01,1741
Other Markets In South Asia,1984-02-01,273
West Asia,1984-02-01,3146
Iran,1984-02-01,32
Israel,1984-02-01,na
Kuwait,1984-02-01,267
Saudi Arabia,1984-02-01,1361
United Arab Emirates,1984-02-01,524
Other Markets In West Asia,1984-02-01,na
Americas,1984-02-01,16407
Canada,1984-02-01,2415
USA,1984-02-01,13587
Other Markets In Americas,1984-02-01,na
Europe,1984-02-01,36707
Belgium & Luxembourg,1984-02-01,737
Denmark,1984-02-01,965
Finland,1984-02-01,411
France,1984-02-01,3046
Germany,1984-02-01,5685
Italy,1984-02-01,1701
Netherlands,1984-02-01,2959
Norway,1984-02-01,821
Rep Of Ireland,1984-02-01,na
Russian Federation,1984-02-01,na
Spain,1984-02-01,na
Sweden,1984-02-01,1360
Switzerland,1984-02-01,2573
United Kingdom,1984-02-01,13618
Other Markets In Europe,1984-02-01,na
Oceania,1984-02-01,19363
Australia,1984-02-01,15901
New Zealand,1984-02-01,2643
Other Markets In Oceania,1984-02-01,819
Africa,1984-02-01,888
Egypt,1984-02-01,na
Mauritius,1984-02-01,na
South Africa (Rep Of),1984-02-01,na
Other Markets In Africa,1984-02-01,na
Others,1984-02-01,33
Total International Visitor Arrivals By Inbound Tourism Markets,1984-01-01,233863
Southeast Asia,1984-01-01,77988
Brunei Darussalam,1984-01-01,na
Indonesia,1984-01-01,na
Malaysia,1984-01-01,na
Myanmar,1984-01-01,na
Philippines,1984-01-01,na
Thailand,1984-01-01,na
Vietnam,1984-01-01,na
Other Markets In Southeast Asia,1984-01-01,na
Greater China,1984-01-01,na
China,1984-01-01,342
Hong Kong SAR,1984-01-01,6882
Taiwan,1984-01-01,4761
Other Markets In Greater China,1984-01-01,na
North Asia,1984-01-01,na
Japan,1984-01-01,29688
South Korea,1984-01-01,2754
Other Markets In North Asia,1984-01-01,na
South Asia,1984-01-01,19801
Bangladesh,1984-01-01,826
India,1984-01-01,14758
Pakistan,1984-01-01,1658
Sri Lanka,1984-01-01,2236
Other Markets In South Asia,1984-01-01,323
West Asia,1984-01-01,4293
Iran,1984-01-01,53
Israel,1984-01-01,na
Kuwait,1984-01-01,179
Saudi Arabia,1984-01-01,2464
United Arab Emirates,1984-01-01,685
Other Markets In West Asia,1984-01-01,na
Americas,1984-01-01,15674
Canada,1984-01-01,2563
USA,1984-01-01,12659
Other Markets In Americas,1984-01-01,na
Europe,1984-01-01,38344
Belgium & Luxembourg,1984-01-01,678
Denmark,1984-01-01,867
Finland,1984-01-01,315
France,1984-01-01,2800
Germany,1984-01-01,5837
Italy,1984-01-01,2094
Netherlands,1984-01-01,3356
Norway,1984-01-01,873
Rep Of Ireland,1984-01-01,na
Russian Federation,1984-01-01,na
Spain,1984-01-01,na
Sweden,1984-01-01,1613
Switzerland,1984-01-01,2703
United Kingdom,1984-01-01,14484
Other Markets In Europe,1984-01-01,na
Oceania,1984-01-01,31593
Australia,1984-01-01,26441
New Zealand,1984-01-01,4108
Other Markets In Oceania,1984-01-01,1044
Africa,1984-01-01,1644
Egypt,1984-01-01,na
Mauritius,1984-01-01,na
South Africa (Rep Of),1984-01-01,na
Other Markets In Africa,1984-01-01,na
Others,1984-01-01,38
Total International Visitor Arrivals By Inbound Tourism Markets,1983-12-01,254939
Southeast Asia,1983-12-01,108963
Brunei Darussalam,1983-12-01,na
Indonesia,1983-12-01,na
Malaysia,1983-12-01,na
Myanmar,1983-12-01,na
Philippines,1983-12-01,na
Thailand,1983-12-01,na
Vietnam,1983-12-01,na
Other Markets In Southeast Asia,1983-12-01,na
Greater China,1983-12-01,na
China,1983-12-01,376
Hong Kong SAR,1983-12-01,7330
Taiwan,1983-12-01,5761
Other Markets In Greater China,1983-12-01,na
North Asia,1983-12-01,na
Japan,1983-12-01,27182
South Korea,1983-12-01,3040
Other Markets In North Asia,1983-12-01,na
South Asia,1983-12-01,19365
Bangladesh,1983-12-01,692
India,1983-12-01,14173
Pakistan,1983-12-01,1568
Sri Lanka,1983-12-01,2538
Other Markets In South Asia,1983-12-01,394
West Asia,1983-12-01,3824
Iran,1983-12-01,28
Israel,1983-12-01,na
Kuwait,1983-12-01,138
Saudi Arabia,1983-12-01,1715
United Arab Emirates,1983-12-01,883
Other Markets In West Asia,1983-12-01,na
Americas,1983-12-01,14813
Canada,1983-12-01,2218
USA,1983-12-01,12123
Other Markets In Americas,1983-12-01,na
Europe,1983-12-01,35066
Belgium & Luxembourg,1983-12-01,705
Denmark,1983-12-01,911
Finland,1983-12-01,302
France,1983-12-01,2513
Germany,1983-12-01,5546
Italy,1983-12-01,1684
Netherlands,1983-12-01,2955
Norway,1983-12-01,840
Rep Of Ireland,1983-12-01,na
Russian Federation,1983-12-01,na
Spain,1983-12-01,na
Sweden,1983-12-01,1330
Switzerland,1983-12-01,2445
United Kingdom,1983-12-01,13361
Other Markets In Europe,1983-12-01,na
Oceania,1983-12-01,27447
Australia,1983-12-01,22322
New Zealand,1983-12-01,4151
Other Markets In Oceania,1983-12-01,974
Africa,1983-12-01,1663
Egypt,1983-12-01,na
Mauritius,1983-12-01,na
South Africa (Rep Of),1983-12-01,na
Other Markets In Africa,1983-12-01,na
Others,1983-12-01,30
Total International Visitor Arrivals By Inbound Tourism Markets,1983-11-01,237223
Southeast Asia,1983-11-01,87616
Brunei Darussalam,1983-11-01,na
Indonesia,1983-11-01,na
Malaysia,1983-11-01,na
Myanmar,1983-11-01,na
Philippines,1983-11-01,na
Thailand,1983-11-01,na
Vietnam,1983-11-01,na
Other Markets In Southeast Asia,1983-11-01,na
Greater China,1983-11-01,na
China,1983-11-01,264
Hong Kong SAR,1983-11-01,6262
Taiwan,1983-11-01,5505
Other Markets In Greater China,1983-11-01,na
North Asia,1983-11-01,na
Japan,1983-11-01,31332
South Korea,1983-11-01,2736
Other Markets In North Asia,1983-11-01,na
South Asia,1983-11-01,17391
Bangladesh,1983-11-01,686
India,1983-11-01,12927
Pakistan,1983-11-01,1401
Sri Lanka,1983-11-01,2086
Other Markets In South Asia,1983-11-01,291
West Asia,1983-11-01,3748
Iran,1983-11-01,27
Israel,1983-11-01,na
Kuwait,1983-11-01,171
Saudi Arabia,1983-11-01,1181
United Arab Emirates,1983-11-01,613
Other Markets In West Asia,1983-11-01,na
Americas,1983-11-01,19538
Canada,1983-11-01,2950
USA,1983-11-01,15948
Other Markets In Americas,1983-11-01,na
Europe,1983-11-01,39194
Belgium & Luxembourg,1983-11-01,790
Denmark,1983-11-01,964
Finland,1983-11-01,647
France,1983-11-01,2962
Germany,1983-11-01,6896
Italy,1983-11-01,1898
Netherlands,1983-11-01,3130
Norway,1983-11-01,818
Rep Of Ireland,1983-11-01,na
Russian Federation,1983-11-01,na
Spain,1983-11-01,na
Sweden,1983-11-01,1878
Switzerland,1983-11-01,2560
United Kingdom,1983-11-01,13480
Other Markets In Europe,1983-11-01,na
Oceania,1983-11-01,22433
Australia,1983-11-01,18031
New Zealand,1983-11-01,3712
Other Markets In Oceania,1983-11-01,690
Africa,1983-11-01,1045
Egypt,1983-11-01,na
Mauritius,1983-11-01,na
South Africa (Rep Of),1983-11-01,na
Other Markets In Africa,1983-11-01,na
Others,1983-11-01,33
Total International Visitor Arrivals By Inbound Tourism Markets,1983-10-01,240012
Southeast Asia,1983-10-01,84634
Brunei Darussalam,1983-10-01,na
Indonesia,1983-10-01,na
Malaysia,1983-10-01,na
Myanmar,1983-10-01,na
Philippines,1983-10-01,na
Thailand,1983-10-01,na
Vietnam,1983-10-01,na
Other Markets In Southeast Asia,1983-10-01,na
Greater China,1983-10-01,na
China,1983-10-01,248
Hong Kong SAR,1983-10-01,6450
Taiwan,1983-10-01,4545
Other Markets In Greater China,1983-10-01,na
North Asia,1983-10-01,na
Japan,1983-10-01,29194
South Korea,1983-10-01,3216
Other Markets In North Asia,1983-10-01,na
South Asia,1983-10-01,18461
Bangladesh,1983-10-01,833
India,1983-10-01,14132
Pakistan,1983-10-01,1098
Sri Lanka,1983-10-01,2203
Other Markets In South Asia,1983-10-01,195
West Asia,1983-10-01,3530
Iran,1983-10-01,21
Israel,1983-10-01,na
Kuwait,1983-10-01,152
Saudi Arabia,1983-10-01,1002
United Arab Emirates,1983-10-01,543
Other Markets In West Asia,1983-10-01,na
Americas,1983-10-01,22763
Canada,1983-10-01,2665
USA,1983-10-01,19019
Other Markets In Americas,1983-10-01,na
Europe,1983-10-01,36835
Belgium & Luxembourg,1983-10-01,943
Denmark,1983-10-01,987
Finland,1983-10-01,452
France,1983-10-01,2987
Germany,1983-10-01,6185
Italy,1983-10-01,1680
Netherlands,1983-10-01,3398
Norway,1983-10-01,693
Rep Of Ireland,1983-10-01,na
Russian Federation,1983-10-01,na
Spain,1983-10-01,na
Sweden,1983-10-01,1478
Switzerland,1983-10-01,2369
United Kingdom,1983-10-01,13024
Other Markets In Europe,1983-10-01,na
Oceania,1983-10-01,28920
Australia,1983-10-01,22792
New Zealand,1983-10-01,5433
Other Markets In Oceania,1983-10-01,695
Africa,1983-10-01,1128
Egypt,1983-10-01,na
Mauritius,1983-10-01,na
South Africa (Rep Of),1983-10-01,na
Other Markets In Africa,1983-10-01,na
Others,1983-10-01,39
Total International Visitor Arrivals By Inbound Tourism Markets,1983-09-01,230076
Southeast Asia,1983-09-01,82606
Brunei Darussalam,1983-09-01,na
Indonesia,1983-09-01,na
Malaysia,1983-09-01,na
Myanmar,1983-09-01,na
Philippines,1983-09-01,na
Thailand,1983-09-01,na
Vietnam,1983-09-01,na
Other Markets In Southeast Asia,1983-09-01,na
Greater China,1983-09-01,na
China,1983-09-01,236
Hong Kong SAR,1983-09-01,6936
Taiwan,1983-09-01,4158
Other Markets In Greater China,1983-09-01,na
North Asia,1983-09-01,na
Japan,1983-09-01,29326
South Korea,1983-09-01,3288
Other Markets In North Asia,1983-09-01,na
South Asia,1983-09-01,19097
Bangladesh,1983-09-01,816
India,1983-09-01,14996
Pakistan,1983-09-01,1082
Sri Lanka,1983-09-01,1966
Other Markets In South Asia,1983-09-01,237
West Asia,1983-09-01,4711
Iran,1983-09-01,11
Israel,1983-09-01,na
Kuwait,1983-09-01,147
Saudi Arabia,1983-09-01,2333
United Arab Emirates,1983-09-01,850
Other Markets In West Asia,1983-09-01,na
Americas,1983-09-01,15444
Canada,1983-09-01,1716
USA,1983-09-01,12744
Other Markets In Americas,1983-09-01,na
Europe,1983-09-01,31629
Belgium & Luxembourg,1983-09-01,617
Denmark,1983-09-01,684
Finland,1983-09-01,250
France,1983-09-01,2836
Germany,1983-09-01,5087
Italy,1983-09-01,1437
Netherlands,1983-09-01,3572
Norway,1983-09-01,561
Rep Of Ireland,1983-09-01,na
Russian Federation,1983-09-01,na
Spain,1983-09-01,na
Sweden,1983-09-01,901
Switzerland,1983-09-01,1717
United Kingdom,1983-09-01,11644
Other Markets In Europe,1983-09-01,na
Oceania,1983-09-01,31325
Australia,1983-09-01,24313
New Zealand,1983-09-01,6266
Other Markets In Oceania,1983-09-01,746
Africa,1983-09-01,1188
Egypt,1983-09-01,na
Mauritius,1983-09-01,na
South Africa (Rep Of),1983-09-01,na
Other Markets In Africa,1983-09-01,na
Others,1983-09-01,35
Total International Visitor Arrivals By Inbound Tourism Markets,1983-08-01,263236
Southeast Asia,1983-08-01,86275
Brunei Darussalam,1983-08-01,na
Indonesia,1983-08-01,na
Malaysia,1983-08-01,na
Myanmar,1983-08-01,na
Philippines,1983-08-01,na
Thailand,1983-08-01,na
Vietnam,1983-08-01,na
Other Markets In Southeast Asia,1983-08-01,na
Greater China,1983-08-01,na
China,1983-08-01,350
Hong Kong SAR,1983-08-01,11841
Taiwan,1983-08-01,6451
Other Markets In Greater China,1983-08-01,na
North Asia,1983-08-01,na
Japan,1983-08-01,41582
South Korea,1983-08-01,3272
Other Markets In North Asia,1983-08-01,na
South Asia,1983-08-01,19784
Bangladesh,1983-08-01,952
India,1983-08-01,15477
Pakistan,1983-08-01,1420
Sri Lanka,1983-08-01,1720
Other Markets In South Asia,1983-08-01,215
West Asia,1983-08-01,4330
Iran,1983-08-01,36
Israel,1983-08-01,na
Kuwait,1983-08-01,186
Saudi Arabia,1983-08-01,2147
United Arab Emirates,1983-08-01,847
Other Markets In West Asia,1983-08-01,na
Americas,1983-08-01,16535
Canada,1983-08-01,2117
USA,1983-08-01,13521
Other Markets In Americas,1983-08-01,na
Europe,1983-08-01,39112
Belgium & Luxembourg,1983-08-01,826
Denmark,1983-08-01,617
Finland,1983-08-01,207
France,1983-08-01,4187
Germany,1983-08-01,5728
Italy,1983-08-01,3124
Netherlands,1983-08-01,4177
Norway,1983-08-01,473
Rep Of Ireland,1983-08-01,na
Russian Federation,1983-08-01,na
Spain,1983-08-01,na
Sweden,1983-08-01,659
Switzerland,1983-08-01,1788
United Kingdom,1983-08-01,13864
Other Markets In Europe,1983-08-01,na
Oceania,1983-08-01,32509
Australia,1983-08-01,24729
New Zealand,1983-08-01,7157
Other Markets In Oceania,1983-08-01,623
Africa,1983-08-01,1044
Egypt,1983-08-01,na
Mauritius,1983-08-01,na
South Africa (Rep Of),1983-08-01,na
Other Markets In Africa,1983-08-01,na
Others,1983-08-01,39
Total International Visitor Arrivals By Inbound Tourism Markets,1983-07-01,249891
Southeast Asia,1983-07-01,94612
Brunei Darussalam,1983-07-01,na
Indonesia,1983-07-01,na
Malaysia,1983-07-01,na
Myanmar,1983-07-01,na
Philippines,1983-07-01,na
Thailand,1983-07-01,na
Vietnam,1983-07-01,na
Other Markets In Southeast Asia,1983-07-01,na
Greater China,1983-07-01,na
China,1983-07-01,322
Hong Kong SAR,1983-07-01,9014
Taiwan,1983-07-01,6692
Other Markets In Greater China,1983-07-01,na
North Asia,1983-07-01,na
Japan,1983-07-01,28034
South Korea,1983-07-01,3658
Other Markets In North Asia,1983-07-01,na
South Asia,1983-07-01,18235
Bangladesh,1983-07-01,649
India,1983-07-01,14558
Pakistan,1983-07-01,1233
Sri Lanka,1983-07-01,1591
Other Markets In South Asia,1983-07-01,204
West Asia,1983-07-01,5629
Iran,1983-07-01,26
Israel,1983-07-01,na
Kuwait,1983-07-01,233
Saudi Arabia,1983-07-01,2848
United Arab Emirates,1983-07-01,1193
Other Markets In West Asia,1983-07-01,na
Americas,1983-07-01,17215
Canada,1983-07-01,2139
USA,1983-07-01,14019
Other Markets In Americas,1983-07-01,na
Europe,1983-07-01,36438
Belgium & Luxembourg,1983-07-01,1121
Denmark,1983-07-01,734
Finland,1983-07-01,172
France,1983-07-01,3912
Germany,1983-07-01,5601
Italy,1983-07-01,1677
Netherlands,1983-07-01,4686
Norway,1983-07-01,599
Rep Of Ireland,1983-07-01,na
Russian Federation,1983-07-01,na
Spain,1983-07-01,na
Sweden,1983-07-01,866
Switzerland,1983-07-01,2057
United Kingdom,1983-07-01,12554
Other Markets In Europe,1983-07-01,na
Oceania,1983-07-01,29012
Australia,1983-07-01,22580
New Zealand,1983-07-01,5755
Other Markets In Oceania,1983-07-01,677
Africa,1983-07-01,917
Egypt,1983-07-01,na
Mauritius,1983-07-01,na
South Africa (Rep Of),1983-07-01,na
Other Markets In Africa,1983-07-01,na
Others,1983-07-01,33
Total International Visitor Arrivals By Inbound Tourism Markets,1983-06-01,227843
Southeast Asia,1983-06-01,93422
Brunei Darussalam,1983-06-01,na
Indonesia,1983-06-01,na
Malaysia,1983-06-01,na
Myanmar,1983-06-01,na
Philippines,1983-06-01,na
Thailand,1983-06-01,na
