date,actual_date,forecast_day,temp_low,temp_high,humidity_low,humidity_high,forecast_summary,forecast_text,wind_speed_low,wind_speed_high,wind_direction,north_avg_daily_psi,south_avg_daily_psi,east_avg_daily_psi,west_avg_daily_psi,central_avg_daily_psi,average_nationwide_psi,highest_region_reading,psi_level_rating,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),avg_daily_relative_humidity,windspeed
15/11/2018,Thursday,Friday,24,32,65,95,Late morning and early afternoon thundery showers.,Thundery Showers,10,20,SSE,55.83,53.17,52.08,51.42,57.33,53.97,central_avg_daily_psi,Moderate,19,7.4,12.4,16,26.3,30.2,23.8,4.7,51.5,86.38,0.79
16/11/2018,Friday,Saturday,25,33,60,95,Early afternoon passing showers.,Passing Showers,10,25,S,52.67,55.08,55.58,41.42,56.17,52.18,central_avg_daily_psi,Moderate,0,0,0,0,28.3,32.1,25.6,3.6,16.9,79.72,2.03
17/11/2018,Saturday,Sunday,25,33,60,95,Late morning and early afternoon thundery showers.,Thundery Showers,10,20,S,57.58,55.17,52.83,59.33,57.92,56.57,west_avg_daily_psi,Moderate,23.4,21,22.4,23.2,27.7,30.2,22.1,4.7,50.4,79.73,1.11
18/11/2018,Sunday,Monday,24,32,60,90,Late morning and early afternoon thundery showers.,Thundery Showers,10,15,W,53.33,51.17,51.83,51.5,54.5,52.47,central_avg_daily_psi,Moderate,10.6,5.2,7.8,8.4,26.7,29.1,23.7,4,28.4,83.55,1.61
19/11/2018,Monday,Tuesday,24,33,65,95,Afternoon thundery showers.,Thundery Showers,10,25,WNW,52.58,52,49.92,46.42,53,50.78,central_avg_daily_psi,Good,2.6,0.8,1.4,2.2,27.2,31,25.1,4.7,20.2,80.3,1.09
20/11/2018,Tuesday,Wednesday,24,33,65,95,Afternoon thundery showers.,Thundery Showers,15,25,WNW,57.75,52.92,55.08,48.5,52.33,53.32,north_avg_daily_psi,Moderate,0.4,0.4,0.4,0.4,28.4,31.4,25,4.7,25.6,75.99,2.52
21/11/2018,Wednesday,Thursday,24,34,65,95,Afternoon thundery showers.,Thundery Showers,10,20,NW,53.83,53.5,57.75,38.67,51.5,51.05,east_avg_daily_psi,Moderate,59.4,20,22.4,25.6,26.6,30.1,23.2,6.8,39.2,83.54,1.07
22/11/2018,Thursday,Friday,24,33,60,95,Afternoon thundery showers.,Thundery Showers,10,20,NW,43.42,42.33,49,31.17,36.17,40.42,east_avg_daily_psi,Good,24.6,12.8,21.8,23.8,26.9,30.3,23.7,3.6,25.2,82.33,1.14
23/11/2018,Friday,Saturday,24,34,60,95,Afternoon thundery showers.,Thundery Showers,15,20,WNW,45.75,51.33,50.33,34.42,39.33,44.23,south_avg_daily_psi,Good,36.4,23.2,32.6,36.4,27.4,33.4,24.3,3.6,22,80.81,1.21
24/11/2018,Saturday,Sunday,24,32,65,90,Morning thundery showers.,Thundery Showers,15,25,W,49.58,52.33,49.83,40.92,49.42,48.42,south_avg_daily_psi,Good,0,0,0,0,28.6,32.8,25.8,4.7,23,74.01,1.29
25/11/2018,Sunday,Monday,24,32,65,95,Pre-dawn hours and early morning thundery showers.,Thundery Showers,15,20,W,51,51.5,52.92,35,50.58,48.2,east_avg_daily_psi,Good,5.6,4.4,5.2,5.4,28,31.2,25.2,4,22,79.49,1.28
26/11/2018,Monday,Tuesday,24,32,65,95,Pre-dawn hours and early morning thundery showers.,Thundery Showers,10,20,WNW,48.42,54.5,57.25,37.25,46.25,48.73,east_avg_daily_psi,Good,27.8,22.8,23.8,26.6,28.2,32.1,22.4,5.4,37.4,77.03,2.03
